character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,level_difficulty,visibility,entity_density,entity_aggression,resource_density,maze_complexity,geometry_stability,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,special_rule,survived_24h,survival_time_hours,escape_probability
5366,29,M,184.8,89.4,65.4,16.73,51.03,59.66,31.06,41.68,26.85,27.01,44.74,54.27,24.58,35.44,29.4,38.82,12.89,24.4,2.78,27.91,0,0.0,0,0,0,0,1,3.27,0,0.0,0,end,5.5,28.85,26.7,11.74,61.55,64.03,28.85,11.74,89.03,12.41,69.28,trap_exit,1,93.79,50.66
5367,40,F,178.0,89.5,57.48,66.3,58.66,68.57,79.35,82.18,56.13,44.57,60.53,81.77,4.31,31.47,42.65,48.23,49.95,76.25,46.21,43.57,0,0.0,1,1,1,2,0,0.0,0,0.0,0,5,5.5,74.86,18.61,15.74,39.55,35.74,74.86,15.74,102.13,2.44,72.1,none,1,224.56,91.97
5368,37,F,170.7,78.1,41.05,24.33,29.51,38.06,68.3,39.92,20.83,6.08,35.99,69.28,2.79,37.93,35.7,41.08,15.41,58.46,5.15,11.44,1,29.55,1,0,1,2,1,2.43,0,0.0,0,2,5.5,29.26,6.45,5.17,42.97,46.91,48.76,5.17,115.51,1.36,71.38,none,1,208.04,71.03
5369,37,F,190.7,99.2,70.0,15.87,55.08,65.51,56.61,21.09,13.2,57.75,83.91,32.88,0.7,28.67,17.94,31.61,12.63,46.98,6.32,57.46,1,40.61,1,1,0,0,1,4.06,1,8.03,1,6,5.5,3.7,39.09,20.75,79.21,57.77,14.8,20.75,71.4,0.61,65.91,darkness,1,201.67,77.85
5370,38,M,184.6,90.5,62.74,39.93,73.64,67.12,56.65,66.91,51.72,37.91,55.81,66.0,0.43,10.22,7.93,12.46,42.06,57.05,14.09,36.3,0,0.0,0,0,1,3,1,3.83,1,7.54,1,1,4.79,78.51,16.11,5.21,74.09,51.94,78.51,5.21,104.7,0.07,71.81,none,1,192.91,84.24
5371,31,M,171.1,75.7,38.55,11.71,43.39,41.74,51.54,17.41,2.89,29.35,48.64,52.59,0.97,26.01,33.14,42.94,39.95,47.52,21.5,23.39,0,0.0,1,0,0,0,1,3.18,1,6.17,1,3,2.06,74.7,30.42,2.56,59.65,15.12,74.7,2.56,88.23,0.49,72.27,none,1,215.42,83.67
5372,26,M,192.0,92.6,88.56,2.33,96.09,93.66,20.03,63.53,64.61,51.2,63.71,69.21,22.59,16.32,25.9,32.59,7.31,15.61,1.44,51.8,0,0.0,0,0,0,0,1,3.04,0,0.0,1,2,5.5,8.17,62.01,51.67,56.34,81.56,13.62,51.67,43.99,15.28,62.06,none,0,118.84,52.24
5373,36,M,179.8,90.9,68.92,59.19,57.63,70.71,54.98,90.4,69.01,35.77,55.15,84.43,23.11,39.15,43.66,49.08,28.52,43.53,4.95,37.69,1,25.61,0,0,0,0,1,2.22,1,4.14,0,3,5.5,53.81,40.99,33.21,38.32,78.06,53.81,33.21,74.06,13.66,70.72,none,0,153.72,62.91
5374,29,M,186.9,89.4,54.68,7.16,41.93,39.76,27.97,30.56,17.35,39.53,73.07,100.0,8.34,66.39,82.97,82.97,54.75,26.36,7.51,39.87,1,5.0,1,0,0,0,0,0.0,0,0.0,1,7,5.5,80.69,56.21,47.07,0.0,52.0,80.69,47.07,47.84,2.65,59.19,flooding,0,135.11,51.53
5375,41,F,171.3,94.1,42.99,24.26,39.84,35.3,60.41,37.06,13.04,37.46,91.83,43.2,0.32,11.84,0.0,6.31,50.55,59.54,12.7,36.23,1,61.74,1,1,1,4,1,5.0,1,10.0,1,4,4.86,53.88,12.99,4.26,100.0,52.94,53.88,4.26,107.92,0.26,71.47,none,1,189.68,86.82
5376,32,M,190.3,103.3,66.95,15.32,69.0,45.89,31.5,46.59,36.78,35.08,49.07,76.23,16.28,11.66,11.09,18.45,30.94,25.18,16.87,38.26,0,0.0,1,0,0,0,1,3.96,1,7.8,1,7,5.37,59.67,63.95,46.52,76.86,24.32,59.67,46.52,45.58,9.78,68.03,flooding,0,174.48,75.42
5377,44,F,185.4,105.0,82.58,20.18,72.3,87.02,79.25,23.77,16.81,63.03,71.48,71.0,0.35,13.3,0.0,12.22,45.09,82.16,2.05,60.31,1,83.33,1,0,1,4,1,5.0,0,0.0,1,4,5.5,60.63,28.43,5.0,100.0,88.7,60.63,5.0,87.8,0.03,69.92,none,1,214.01,87.89
5378,45,F,164.5,82.4,29.99,65.62,24.69,28.65,89.61,76.05,23.05,23.28,87.12,55.64,3.62,29.09,36.74,46.11,27.02,82.83,50.14,26.32,1,50.76,1,1,1,3,1,3.02,1,5.82,1,2,4.69,18.29,46.43,31.44,56.05,14.27,30.49,31.44,68.62,0.71,71.75,none,1,205.46,91.58
5379,31,M,177.1,89.6,56.32,10.74,38.76,33.45,45.18,47.47,16.43,1.0,12.78,43.11,12.3,40.54,33.15,39.87,6.24,33.97,2.17,10.35,0,0.0,0,1,0,0,1,2.77,1,5.28,0,7,5.5,32.12,49.46,35.57,50.36,50.99,32.12,35.57,58.96,10.59,64.55,flooding,0,106.08,42.13
5380,48,F,170.2,83.6,30.64,59.88,15.35,38.0,84.25,77.65,24.63,24.98,88.1,40.1,0.45,38.34,8.05,17.4,78.11,82.94,15.28,28.18,1,72.51,0,1,1,4,1,4.34,0,0.0,1,1,5.5,88.5,25.37,7.82,85.3,85.76,88.5,7.82,92.71,0.27,71.01,none,1,219.12,82.75
5381,41,M,169.9,95.0,45.33,20.18,46.97,43.24,61.46,34.42,11.7,41.01,86.4,50.96,0.6,2.0,0.0,3.85,61.79,57.83,45.94,41.14,1,60.27,1,1,1,4,1,5.0,1,10.0,1,1,2.78,71.7,24.91,7.31,100.0,10.28,71.7,7.31,94.65,0.43,72.13,none,1,233.64,92.76
5382,37,F,180.3,95.1,59.09,36.56,59.41,57.2,68.62,51.58,36.05,26.44,32.05,69.17,7.77,10.6,12.27,20.3,8.49,63.34,16.07,18.88,1,54.99,1,0,1,3,0,0.0,1,7.78,1,4,2.96,25.57,35.3,11.58,76.61,10.84,25.57,11.58,82.19,3.6,72.08,none,0,196.43,85.59
5383,31,F,171.3,84.0,54.25,16.92,45.36,52.91,42.62,24.92,16.14,13.51,27.2,63.0,6.28,14.03,7.02,14.72,12.22,36.73,5.02,11.37,1,36.49,1,1,1,4,1,4.31,1,8.54,1,1,4.46,51.12,22.37,9.16,84.59,35.99,51.12,9.16,96.09,2.43,70.9,none,1,169.04,71.97
5384,40,F,179.0,89.4,58.14,15.27,50.14,57.94,69.36,23.79,20.2,41.11,70.4,92.45,4.12,25.49,21.04,23.85,59.9,59.25,2.07,42.06,0,0.0,0,1,1,2,1,2.3,1,4.31,0,0,5.5,79.03,48.04,29.97,40.09,91.32,79.03,29.97,54.47,1.5,57.63,none,1,179.26,64.23
5385,40,F,164.6,81.4,28.16,44.77,19.49,35.03,79.01,52.88,12.31,10.56,46.41,5.09,26.55,19.81,14.05,19.01,21.4,56.7,13.2,12.8,1,51.84,1,0,1,3,1,3.37,1,6.57,1,5,5.5,46.21,71.25,47.66,63.87,41.04,46.21,47.66,36.65,20.0,66.55,none,1,79.78,49.79
5386,41,F,173.6,90.6,47.49,47.65,56.84,54.62,83.27,57.55,24.16,35.24,65.55,70.02,4.77,4.78,4.91,5.89,40.23,76.87,23.19,30.51,1,43.44,1,1,0,0,1,2.76,0,0.0,1,4,4.02,63.05,13.22,3.5,50.13,40.57,63.05,3.5,108.48,1.82,72.04,none,0,206.98,86.14
5387,30,F,168.3,79.6,27.77,23.1,28.01,19.54,49.34,37.26,8.78,23.64,93.15,39.88,3.53,35.83,21.43,28.5,3.8,44.78,6.36,25.53,1,32.46,0,0,1,3,1,3.3,0,0.0,1,3,5.5,4.28,24.09,14.22,62.26,57.73,4.28,14.22,91.55,1.23,68.91,none,0,137.5,62.41
5388,31,M,177.1,80.9,47.58,3.65,55.7,54.85,18.38,27.82,18.28,28.9,49.09,20.2,35.32,1.66,0.96,1.62,8.42,15.15,4.24,25.22,1,22.19,0,1,1,3,1,3.98,1,7.84,1,end,5.5,18.11,62.93,39.55,77.26,52.44,18.11,39.55,43.26,10.07,62.42,trap_exit,0,21.53,33.55
5389,32,M,175.4,78.1,33.32,28.73,24.14,40.76,35.35,68.65,34.62,10.87,42.75,55.7,8.23,56.63,50.46,56.4,9.98,37.85,2.92,15.14,0,0.0,0,1,0,0,0,0.0,1,4.02,1,4,5.5,26.57,31.94,17.84,37.04,62.5,26.57,17.84,83.79,2.49,69.96,none,1,157.85,54.13
5390,27,F,168.1,81.4,28.07,1.0,25.46,36.33,32.47,13.8,10.38,5.61,25.87,65.98,8.43,32.53,9.9,20.0,4.37,36.89,1.7,8.19,1,37.0,1,1,1,4,1,4.26,0,0.0,1,8,5.34,16.7,50.06,18.02,83.62,60.4,16.7,18.02,59.51,1.81,65.99,none,0,133.72,54.8
5391,43,F,169.4,79.9,37.72,14.1,28.13,39.48,75.17,35.01,12.21,19.35,43.87,13.18,12.22,28.96,11.59,16.36,16.45,64.79,0.92,14.22,1,52.21,0,1,1,3,0,0.0,0,0.0,0,0,5.5,38.2,16.49,4.47,67.34,92.52,38.2,4.47,102.19,1.59,70.33,none,0,112.03,49.26
5392,46,M,195.0,105.0,93.2,76.83,74.84,86.37,87.24,78.72,63.46,72.57,93.39,34.97,2.6,12.95,0.0,17.76,17.78,87.69,6.99,74.8,1,90.53,1,0,1,4,1,5.0,1,10.0,1,4,5.27,20.47,17.82,4.6,100.0,69.15,20.47,4.6,103.04,0.36,72.08,none,1,236.53,88.8
5393,29,M,185.6,90.4,68.33,24.83,67.27,76.47,36.78,60.24,37.18,38.66,61.27,36.84,27.09,35.15,45.45,48.82,10.04,23.29,2.69,38.22,1,13.22,1,0,0,0,1,1.72,1,3.07,0,8,5.5,19.12,11.77,10.52,27.08,68.3,19.12,10.52,107.56,11.54,70.24,none,0,62.93,43.44
5394,32,M,181.6,85.3,74.35,17.2,63.49,69.78,33.43,44.69,33.86,57.02,79.34,21.13,3.04,14.26,7.71,14.01,52.0,38.46,6.21,52.11,1,35.26,1,1,0,0,1,4.11,1,8.13,1,5,5.5,66.78,55.11,49.79,80.32,68.08,66.78,49.79,50.07,2.33,60.74,none,1,135.68,54.68
5395,39,M,184.1,94.9,67.45,31.9,72.35,66.69,56.08,52.42,32.51,37.07,54.1,22.16,1.49,19.24,24.7,26.73,41.85,52.96,7.57,40.81,0,0.0,0,0,0,0,0,0.0,0,0.0,0,6,5.5,17.94,71.51,32.92,29.08,61.07,71.76,32.92,35.66,0.29,65.07,darkness,0,137.1,54.45
5396,28,M,180.7,91.8,61.35,27.3,50.22,63.02,45.59,48.17,32.29,34.63,65.98,19.59,18.05,9.88,10.13,19.11,31.91,35.1,31.32,37.48,1,38.2,0,1,0,0,1,4.17,1,8.25,1,2,5.5,30.3,77.02,73.46,81.6,11.47,50.51,73.46,31.44,11.48,69.55,none,1,207.21,73.09
5397,44,F,164.9,85.8,19.54,31.16,16.19,16.85,96.21,46.48,4.99,13.02,57.67,35.24,8.96,27.78,22.05,24.32,32.82,86.02,8.11,11.43,1,35.44,1,1,1,2,1,2.03,0,0.0,1,0,5.5,61.01,27.3,15.35,33.91,61.6,61.01,15.35,87.31,4.48,68.43,none,1,120.19,60.54
5398,41,M,184.2,101.3,62.86,59.58,49.07,68.8,53.03,100.0,59.81,46.52,55.04,18.49,10.25,44.34,40.17,50.57,29.42,50.22,5.68,38.05,1,34.99,0,1,1,3,0,0.0,1,5.86,1,3,5.5,53.58,34.0,11.26,56.43,76.49,53.58,11.26,83.87,2.64,72.2,none,0,120.51,54.11
5399,38,F,191.1,105.0,76.73,35.09,81.29,86.04,33.48,88.59,75.62,41.49,51.99,61.43,5.86,8.34,13.09,13.38,17.7,33.51,4.01,44.42,0,0.0,0,0,0,0,0,0.0,0,0.0,1,3,5.14,32.76,69.87,17.72,10.11,66.6,32.76,17.72,40.73,3.11,71.65,none,1,138.76,67.53
5400,36,M,186.5,105.0,82.71,27.09,84.45,81.18,54.31,63.86,50.73,54.79,58.61,43.59,4.25,30.49,47.27,48.62,26.49,50.72,3.12,47.13,0,0.0,0,0,0,0,0,0.0,1,1.68,0,8,5.5,47.46,54.24,22.43,12.43,77.77,47.46,22.43,56.04,2.1,67.41,none,0,134.08,54.78
5401,41,M,187.4,97.5,80.09,20.39,82.51,73.41,43.73,53.78,46.13,73.87,91.34,6.75,2.11,7.57,9.71,14.73,43.65,46.74,32.28,73.49,0,0.0,1,1,0,0,1,3.74,1,7.35,1,1,4.03,49.49,18.95,8.0,72.07,25.1,49.49,8.0,101.37,1.84,71.84,none,0,205.27,79.92
5402,26,M,184.6,95.5,72.31,11.81,73.33,69.25,16.35,64.41,46.29,51.37,77.96,29.16,6.46,19.37,22.55,32.69,51.78,7.39,18.74,54.88,0,0.0,1,1,1,3,0,0.0,0,0.0,1,end,4.61,68.68,18.41,9.62,69.19,27.93,68.68,9.62,101.89,4.71,71.76,trap_exit,1,161.52,64.05
5403,44,F,168.1,92.8,34.06,40.53,16.12,29.78,76.16,57.86,19.41,25.35,80.22,59.27,1.92,38.71,31.05,36.01,28.81,78.81,12.32,23.46,1,38.89,1,1,0,0,1,2.5,0,0.0,1,end,5.36,35.82,49.75,20.57,44.39,55.47,35.82,20.57,62.6,1.39,69.27,trap_exit,0,174.74,74.88
5404,33,F,171.1,74.8,34.44,44.08,19.34,27.24,53.04,79.81,18.76,7.64,40.74,67.63,2.09,22.3,14.5,18.74,17.95,49.51,7.14,9.35,1,33.51,1,1,1,3,1,3.17,0,0.0,1,1,4.08,49.49,22.29,3.48,59.37,52.83,49.49,3.48,98.02,1.26,72.32,none,1,177.79,75.53
5405,33,M,185.5,105.0,87.36,35.3,83.71,88.86,39.53,68.07,61.5,23.36,21.46,39.98,22.29,7.9,12.74,13.71,11.01,34.09,4.05,21.13,0,0.0,1,0,1,2,0,0.0,1,3.12,1,2,5.5,26.77,37.81,25.58,27.6,50.64,44.61,25.58,77.09,10.36,70.05,none,0,144.98,55.09
5406,35,F,165.9,80.2,34.71,47.13,18.48,21.01,63.29,67.68,17.44,15.83,32.38,29.92,16.63,26.35,21.23,22.86,18.98,51.49,3.27,8.23,0,0.0,1,1,1,2,0,0.0,0,0.0,1,8,5.5,61.28,27.47,27.47,27.71,71.06,61.28,27.47,85.62,10.44,67.19,none,1,86.59,44.26
5407,25,M,188.2,86.4,72.97,11.63,59.86,71.91,16.57,76.82,63.37,69.17,96.5,48.91,0.68,30.47,34.68,41.7,62.64,13.9,9.27,65.62,0,0.0,1,0,0,0,1,2.76,1,5.28,1,end,5.5,67.93,54.43,35.71,50.32,56.5,67.93,35.71,57.68,0.06,69.87,trap_exit,1,151.29,64.75
5408,33,F,180.5,95.9,65.46,37.03,54.12,65.19,45.86,75.8,48.44,17.77,19.86,54.91,17.85,24.85,30.67,36.77,14.82,42.82,7.67,12.67,0,0.0,0,0,0,0,0,0.0,1,5.24,0,3,5.5,76.83,60.87,49.53,49.85,38.07,76.83,49.53,49.48,10.24,68.7,none,0,155.48,66.39
5409,38,M,174.5,84.0,55.54,13.67,45.77,49.0,40.42,32.18,18.89,41.47,72.86,27.18,4.47,10.46,7.33,8.36,37.26,33.22,1.15,37.39,1,18.66,0,1,0,0,0,0.0,0,0.0,1,2,5.5,28.51,39.54,31.52,41.35,100.0,47.51,31.52,63.73,2.8,58.78,none,1,105.51,47.47
5410,41,M,185.2,92.9,66.01,21.57,66.52,75.1,61.55,28.74,22.96,6.46,21.22,75.64,6.66,7.99,4.7,9.07,16.22,64.97,3.23,11.7,1,59.4,0,0,1,3,1,4.2,1,8.32,1,4,4.82,93.38,5.14,1.67,82.27,52.44,93.38,1.67,118.14,2.82,72.06,none,0,139.51,76.65
5411,43,F,173.9,89.4,39.94,56.12,35.47,32.61,69.16,74.14,28.1,15.75,59.98,88.48,11.58,17.46,7.6,11.24,27.54,65.4,5.06,20.64,1,54.57,1,1,0,0,0,0.0,1,7.2,1,6,5.5,12.11,64.45,60.66,70.54,77.59,48.45,60.66,42.1,4.47,63.12,darkness,1,216.0,84.37
5412,43,F,186.5,105.0,79.24,33.49,77.52,79.8,92.61,54.74,46.98,54.62,58.11,7.84,10.0,9.55,0.0,11.42,48.0,82.48,7.93,49.42,1,92.06,1,1,1,4,1,5.0,0,0.0,1,1,5.5,82.81,43.57,26.02,100.0,79.56,82.81,26.02,65.84,6.44,65.18,none,1,161.05,67.25
5413,46,F,168.9,88.9,32.71,32.99,33.47,39.27,70.78,51.32,20.45,16.93,41.91,47.55,12.83,21.46,11.49,17.34,23.47,63.99,6.37,15.06,0,0.0,1,0,1,3,1,3.73,1,7.32,0,6,5.5,15.41,27.8,19.24,71.79,57.9,61.65,19.24,86.73,6.45,68.42,darkness,1,148.82,61.38
5414,40,F,185.8,103.1,72.56,66.12,62.81,72.31,78.87,68.75,52.02,27.2,28.56,7.92,29.19,37.83,54.21,56.62,12.37,56.9,6.53,19.02,1,18.87,0,1,1,2,0,0.0,0,0.0,1,0,5.5,46.02,85.12,61.52,18.16,52.24,46.02,61.52,21.3,13.86,66.25,none,0,83.29,37.74
5415,35,M,184.0,94.3,74.04,23.62,58.18,73.37,40.08,57.7,51.41,74.14,95.47,37.96,0.03,25.91,14.64,28.87,78.26,34.71,8.51,70.2,1,32.36,0,1,0,0,1,4.23,1,8.38,1,0,5.37,83.02,51.25,14.61,82.94,68.65,83.02,14.61,61.16,0.01,69.62,none,1,164.16,71.48
5416,32,M,180.4,93.1,70.28,1.0,64.59,68.75,26.71,48.68,26.05,2.35,19.4,65.36,11.88,9.31,8.55,11.25,4.59,22.58,1.04,10.17,1,19.91,0,1,1,3,0,0.0,1,6.32,0,3,5.5,30.55,37.0,19.89,61.24,61.15,30.55,19.89,75.39,4.74,67.54,none,1,142.07,58.24
5417,39,M,190.9,103.5,97.52,43.06,82.16,93.7,72.19,69.81,59.8,59.16,67.82,56.89,14.88,30.08,48.35,50.85,12.58,61.31,1.1,60.16,0,0.0,0,0,1,2,0,0.0,0,0.0,1,2,5.5,11.46,12.38,8.8,20.57,100.0,19.1,8.8,107.18,4.12,70.47,none,1,143.09,61.29
5418,49,M,180.3,105.0,74.94,59.25,71.2,76.99,84.37,69.82,53.11,42.69,53.0,35.49,0.81,23.4,19.51,24.95,39.98,79.92,3.94,39.7,1,49.57,0,1,1,3,1,3.12,1,6.03,0,2,5.5,44.52,75.4,22.7,58.23,100.0,74.2,22.7,32.7,0.27,68.06,none,1,194.97,65.93
5419,30,M,187.0,105.0,86.48,29.91,93.66,86.92,31.69,92.59,87.08,53.16,53.56,32.51,1.27,3.55,0.0,5.96,4.85,26.82,1.2,51.74,1,30.81,1,1,1,4,1,5.0,1,10.0,0,4,5.5,8.62,31.47,6.44,100.0,87.16,8.62,6.44,86.92,0.71,72.22,none,1,164.55,67.75
5420,36,F,184.9,94.7,81.98,50.39,70.01,69.28,83.53,51.98,49.86,28.64,40.79,90.98,4.7,7.03,7.01,9.65,11.15,73.03,3.63,28.34,1,52.57,0,0,1,3,1,3.44,1,6.71,1,2,5.5,18.22,56.46,23.69,65.34,62.15,30.37,23.69,53.87,3.18,67.84,none,1,151.48,77.39
5421,29,M,186.6,90.9,78.16,12.96,62.68,69.2,36.63,37.15,29.75,28.49,41.53,84.51,14.01,32.41,29.3,36.25,15.75,35.0,0.9,25.88,0,0.0,1,1,1,3,0,0.0,1,5.66,0,1,5.5,43.83,41.7,20.56,54.27,89.43,43.83,20.56,67.95,11.36,65.28,none,1,135.04,56.68
5422,42,F,170.8,94.9,37.88,11.86,26.74,42.15,71.76,13.78,11.51,23.26,62.61,25.22,7.42,41.02,30.95,33.46,37.4,63.01,0.89,26.98,1,23.7,0,1,0,0,0,0.0,0,0.0,0,2,5.5,35.57,23.01,11.95,28.92,100.0,59.28,11.95,87.9,2.57,65.1,none,1,113.84,42.47
5423,37,M,187.6,104.9,73.25,33.28,49.98,75.21,59.29,53.2,37.22,52.47,74.95,14.4,3.95,45.84,61.2,62.13,39.55,52.07,3.94,52.52,0,0.0,0,1,0,0,0,0.0,1,1.17,0,end,5.5,53.55,26.21,22.38,7.05,78.92,53.55,22.38,85.98,2.07,66.34,trap_exit,1,131.02,41.25
5424,35,F,176.1,84.8,57.71,10.32,54.93,58.99,65.54,20.77,13.6,16.7,25.94,57.14,14.9,11.74,9.08,11.57,13.39,55.44,1.39,17.65,1,40.79,1,1,1,3,0,0.0,0,0.0,1,3,5.5,44.55,42.44,14.47,57.83,73.91,44.55,14.47,68.37,8.85,66.56,none,1,139.04,54.0
5425,43,M,188.1,102.1,78.07,15.79,72.82,78.14,85.12,23.47,23.72,37.27,47.96,85.27,7.18,16.12,22.65,27.39,38.53,74.72,15.13,31.84,1,44.11,0,1,1,3,0,0.0,1,5.36,1,3,3.95,91.49,85.24,28.73,51.15,31.9,91.49,28.73,21.51,5.18,67.61,none,1,228.27,81.68
5426,30,M,182.7,90.7,57.79,10.1,51.04,63.62,17.83,89.2,63.52,36.48,52.7,14.12,6.47,31.37,13.25,27.71,43.31,16.25,3.98,33.72,0,0.0,1,1,0,0,1,4.3,1,8.53,1,4,5.35,82.23,37.96,10.65,84.5,68.65,82.23,10.65,78.96,3.51,72.04,none,1,114.51,45.89
5427,26,F,159.0,63.7,6.48,4.4,10.35,7.88,16.62,57.85,6.93,7.01,55.55,58.35,4.89,13.31,8.76,9.93,51.12,9.76,3.79,4.07,0,0.0,1,0,0,0,1,2.31,1,4.32,1,end,4.73,93.29,23.85,4.55,40.18,63.74,93.29,4.55,95.38,2.97,71.71,trap_exit,0,155.19,62.28
5428,26,M,185.3,94.5,77.55,17.08,79.04,78.98,42.47,53.14,42.27,55.11,67.96,12.94,2.12,17.07,11.25,19.36,53.32,36.69,2.75,54.42,0,0.0,1,1,1,3,1,4.02,0,0.0,1,1,5.5,77.37,22.0,8.84,78.29,86.39,77.37,8.84,95.34,0.9,69.99,none,1,144.42,57.85
5429,40,M,178.2,101.2,56.13,50.96,45.0,57.55,60.26,89.45,43.47,37.12,78.5,65.85,2.65,20.42,2.84,9.52,36.53,61.15,2.4,38.27,1,60.0,1,0,1,4,1,4.65,1,9.26,1,6,5.5,12.45,27.33,5.44,92.17,100.0,49.79,5.44,91.21,2.16,71.68,darkness,0,210.03,90.62
5430,40,M,183.3,99.5,70.76,39.69,59.78,73.62,62.96,55.82,40.33,42.47,43.72,78.05,9.53,21.63,16.27,24.65,32.59,56.59,6.85,34.25,0,0.0,1,1,1,3,0,0.0,0,0.0,0,6,5.5,16.64,80.83,52.38,72.01,65.21,66.55,52.38,24.84,3.66,62.59,darkness,1,169.34,67.68
5431,39,M,171.5,94.1,39.96,52.09,35.15,45.98,69.69,77.12,35.23,25.07,77.7,68.5,4.89,20.83,12.15,16.87,25.13,65.51,7.98,30.46,1,48.16,0,1,1,3,1,3.47,0,0.0,0,5,5.5,34.02,48.58,18.34,65.96,64.67,34.02,18.34,64.93,1.36,70.43,none,0,186.3,79.84
5432,27,M,174.4,86.6,40.24,28.29,40.83,50.1,45.38,52.31,21.67,17.64,33.7,36.76,27.49,42.09,37.24,42.77,6.78,30.36,2.1,15.01,0,0.0,1,0,0,0,1,2.42,1,4.55,0,0,5.5,21.03,26.08,12.67,42.6,63.67,21.03,12.67,90.14,5.79,69.6,none,1,78.06,40.21
5433,49,F,190.6,102.0,71.37,34.41,65.33,70.85,78.3,57.7,42.96,45.22,60.32,25.61,14.16,29.4,38.42,45.1,48.15,68.47,24.88,42.73,0,0.0,0,0,1,2,1,2.59,1,4.92,1,5,5.5,80.2,25.99,22.22,46.51,41.16,80.2,22.22,89.94,5.49,69.36,none,1,189.04,70.61
5434,34,F,184.7,92.8,60.0,32.42,56.17,57.55,79.77,44.93,24.06,5.55,12.61,21.43,17.91,8.18,0.0,8.01,3.27,65.38,1.98,3.99,0,0.0,1,1,1,4,1,5.0,1,10.0,1,0,5.18,47.92,31.79,17.76,100.0,37.01,47.92,17.76,83.88,11.02,69.88,none,1,165.01,59.51
5435,31,M,168.1,93.5,58.04,1.0,55.14,64.77,18.16,34.45,18.01,41.66,59.82,49.78,11.17,52.37,81.0,84.06,31.28,14.83,12.86,33.42,0,0.0,1,0,0,0,1,1.21,0,0.0,0,5,5.5,56.64,12.76,12.25,15.88,29.22,56.64,12.25,107.02,7.23,70.67,none,0,128.33,61.78
5436,35,M,185.7,95.8,67.31,54.14,60.74,67.85,59.41,75.72,50.64,48.54,58.93,66.74,8.19,35.92,40.09,45.69,33.49,57.61,5.94,43.05,1,29.51,0,0,0,0,0,0.0,0,0.0,1,6,5.5,13.96,31.37,12.37,41.11,75.39,55.85,12.37,85.45,1.73,70.83,darkness,1,150.71,76.21
5437,32,M,180.7,90.7,65.25,13.5,56.23,61.17,45.55,39.84,25.57,15.51,23.33,66.64,7.65,17.75,8.26,13.27,13.58,34.77,0.3,10.97,0,0.0,1,1,1,3,1,3.88,1,7.64,0,1,5.5,77.89,27.78,9.91,75.21,100.0,77.89,9.91,86.12,2.38,67.9,none,1,124.06,55.48
5438,40,M,183.4,97.2,66.75,41.3,48.12,41.96,56.6,71.21,43.98,50.71,80.63,11.52,5.31,60.04,45.11,53.39,27.97,49.99,2.95,48.12,0,0.0,1,1,0,0,1,2.65,0,0.0,1,7,5.5,38.09,24.86,15.05,47.84,84.84,38.09,15.05,91.85,2.63,69.85,flooding,0,104.83,44.2
5439,42,F,165.7,83.4,29.19,41.58,19.31,17.46,58.55,67.38,16.59,12.8,61.81,76.83,8.44,20.63,11.81,15.86,41.18,54.59,13.52,14.88,0,0.0,1,0,0,0,1,3.34,0,0.0,0,0,5.5,69.99,12.77,6.32,63.21,57.19,69.99,6.32,108.64,3.43,71.79,none,1,211.67,78.2
5440,33,F,160.6,81.1,28.14,25.31,20.8,23.84,38.88,71.13,20.62,8.4,70.93,30.62,6.76,10.84,10.86,13.84,37.0,29.91,32.9,19.06,0,0.0,1,0,0,0,1,3.1,0,0.0,0,7,4.04,49.02,32.47,16.31,57.86,17.31,49.02,16.31,85.43,3.78,71.96,flooding,1,182.23,76.67
5441,35,M,190.5,103.6,76.09,26.56,71.43,83.95,37.67,64.08,59.38,42.28,54.05,71.07,4.74,23.38,27.41,32.99,51.38,38.81,5.19,46.82,1,24.52,0,1,1,3,1,2.77,1,5.29,1,3,5.5,88.07,61.63,23.19,50.45,75.8,88.07,23.19,48.38,3.4,68.34,none,0,189.13,67.95
5442,24,M,188.2,105.0,95.37,17.59,96.39,100.0,23.1,67.4,58.75,36.97,47.01,66.17,15.22,6.37,10.36,11.89,32.81,21.7,3.42,40.69,1,15.34,0,1,0,0,1,2.41,1,4.54,0,1,5.5,75.25,32.54,19.48,42.53,67.0,75.25,19.48,82.11,4.95,69.08,none,1,152.35,61.3
5443,36,F,177.4,94.1,52.46,42.1,46.83,48.06,70.43,65.98,31.3,19.41,23.62,49.66,24.98,12.19,15.66,15.85,9.81,48.85,3.65,11.02,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,5.5,46.66,31.86,16.79,5.79,54.55,46.66,16.79,84.17,16.24,70.21,none,1,125.95,54.13
5444,31,F,161.3,78.8,30.94,34.41,21.43,24.15,47.3,85.13,20.42,12.56,46.17,7.94,6.01,21.44,12.23,17.24,29.31,47.18,11.53,9.92,1,37.03,1,0,1,3,0,0.0,1,6.88,0,end,4.14,75.05,50.56,9.65,67.16,50.66,75.05,9.65,63.84,3.2,71.91,trap_exit,1,152.52,62.36
